iter	MultiClass
0	1.239562513
1	1.122882251
2	1.032862829
3	0.9553646608
4	0.8849514631
5	0.8252605864
6	0.7769902116
7	0.7394110387
8	0.7029426473
9	0.6701660535
10	0.6414425691
11	0.6158809486
12	0.5948768561
13	0.5749179483
14	0.5524634272
15	0.5337153518
16	0.5182849767
17	0.503938837
18	0.4906219765
19	0.4800109872
20	0.46913638
21	0.4604896689
22	0.4501619381
23	0.4395221874
24	0.4326852171
25	0.42619801
26	0.4201112251
27	0.4126900229
28	0.4087814676
29	0.4034384126
30	0.3975085028
31	0.3917244985
32	0.3867627087
33	0.381912934
34	0.3774309427
35	0.3724195687
36	0.368187412
37	0.3650551318
38	0.3618854267
39	0.3592250004
40	0.3566111694
41	0.352493224
42	0.3496565308
43	0.3462121432
44	0.3438574029
45	0.3399254474
46	0.3374904249
47	0.3355757891
48	0.3323819585
49	0.3308096532
50	0.3277967287
51	0.3267286535
52	0.3237997028
53	0.3212088924
54	0.319375131
55	0.3174630886
56	0.3160718611
57	0.3130449168
58	0.3118681658
59	0.309568861
60	0.3075968347
61	0.3069520358
62	0.3046969728
63	0.303242855
64	0.3019944491
65	0.300339121
66	0.2986103391
67	0.2968781084
68	0.2952230098
69	0.2944189953
70	0.2923511085
71	0.2907384476
72	0.2887259648
73	0.2859905189
74	0.284389336
75	0.2822783134
76	0.2802371102
77	0.2780273558
78	0.2762403981
79	0.275342648
80	0.273786693
81	0.2717781736
82	0.2707612745
83	0.2701136216
84	0.2688837353
85	0.2677093802
86	0.2661394315
87	0.2647464454
88	0.2629750314
89	0.2609645869
90	0.260276158
91	0.2596318239
92	0.2588406664
93	0.2574706908
94	0.2559385662
95	0.2548928801
96	0.2536713088
97	0.2530789826
98	0.2510046632
99	0.2498555819
100	0.2487732986
101	0.2477172068
102	0.2460665141
103	0.2448904164
104	0.2442022721
105	0.2431841264
106	0.2429630792
107	0.2419535289
108	0.2410025194
109	0.2399175002
110	0.2386577069
111	0.2370743822
112	0.236069154
113	0.2353452847
114	0.2345355281
115	0.2327902994
116	0.2324526389
117	0.2317108826
118	0.230735207
119	0.2294896763
120	0.2279388034
121	0.2262826787
122	0.2252708613
123	0.2247926428
124	0.2233034782
125	0.2224302912
126	0.2209878772
127	0.2204552182
128	0.2199807031
129	0.2193751146
130	0.2180576028
131	0.2168578666
132	0.2160639304
133	0.2153767827
134	0.2143392633
135	0.2130820074
136	0.2117172404
137	0.2109864696
138	0.2101683141
139	0.2096901424
140	0.2086550038
141	0.207572051
142	0.2070741697
143	0.2061758869
144	0.2055653337
145	0.204906688
146	0.2040270395
147	0.2037026451
148	0.2033077902
149	0.2025856538
150	0.2022488541
151	0.2015946375
152	0.2009784363
153	0.2006433911
154	0.1993279577
155	0.1988049504
156	0.1984178195
157	0.1980857091
158	0.1974109193
159	0.1969853957
160	0.1965679725
161	0.1957724314
162	0.1951268789
163	0.1946959241
164	0.194306882
165	0.193740668
166	0.1928239692
167	0.1921530628
168	0.1916457
169	0.1911879225
170	0.1909203585
171	0.1901937538
172	0.1892963217
173	0.1883590871
174	0.1873025594
175	0.1867630145
176	0.185529757
177	0.1846997253
178	0.1840414397
179	0.1830440108
180	0.1827689613
181	0.1819862809
182	0.1811278101
183	0.1806456829
184	0.1798455029
185	0.1794365879
186	0.1791604149
187	0.1787485216
188	0.1784979493
189	0.177999387
190	0.1774275482
191	0.1769566127
192	0.1766555848
193	0.1761904746
194	0.1755869254
195	0.1745155791
196	0.1737263555
197	0.1731704022
198	0.1730209023
199	0.1725138391
200	0.1716129826
201	0.1712441587
202	0.1706896035
203	0.1700892385
204	0.1694071054
205	0.1690985429
206	0.1681556947
207	0.1678410999
208	0.1673338494
209	0.1666632587
210	0.1658398312
211	0.1652965905
212	0.1645088606
213	0.1638816754
214	0.1630660935
215	0.1622989097
216	0.1618246002
217	0.1614568382
218	0.1611736504
219	0.1603577562
220	0.1598209206
221	0.1593675163
222	0.1591482402
223	0.1582879224
224	0.1576325196
225	0.1574413747
226	0.1569060654
227	0.1563143373
228	0.1558553529
229	0.1555252376
230	0.155112307
231	0.1545750947
232	0.1541496927
233	0.1539227708
234	0.1532934961
235	0.1522577895
236	0.1518613411
237	0.1513481371
238	0.150946856
239	0.1505386768
240	0.1500030005
241	0.1497659717
242	0.1494698681
243	0.14902577
244	0.148482274
245	0.1479428669
246	0.1474090497
247	0.1468376803
248	0.1466294362
249	0.1462374241
250	0.1458836246
251	0.1455304356
252	0.1448826883
253	0.1444019807
254	0.1439419272
255	0.1437890176
256	0.1432125181
257	0.1427537507
258	0.142445195
259	0.1419826509
260	0.1413529236
261	0.1410809912
262	0.1408757125
263	0.1402280093
264	0.1398795224
265	0.1393383141
266	0.1390339827
267	0.1387880021
268	0.1384937116
269	0.1380998934
270	0.1376321067
271	0.1372417608
272	0.1371037059
273	0.1369305195
274	0.1366235731
275	0.1364018717
276	0.1361305695
277	0.1357441877
278	0.1354068426
279	0.1347888855
280	0.1345556991
281	0.1340617668
282	0.1336768512
283	0.1331059206
284	0.1327376655
285	0.1323468016
286	0.1319797967
287	0.1314842309
288	0.1312665031
289	0.1309593078
290	0.1306630718
291	0.1301871473
292	0.1297661961
293	0.1292551579
294	0.1288595596
295	0.1285359119
296	0.1283063918
297	0.1281455871
298	0.127751559
299	0.1274643898
300	0.12718574
301	0.1268607607
302	0.126624221
303	0.1265054968
304	0.1260095611
305	0.1256176259
306	0.1254118991
307	0.1251548874
308	0.1247576558
309	0.1245271245
310	0.1240985615
311	0.1237745487
312	0.1234646491
313	0.123176805
314	0.122749576
315	0.1222076529
316	0.121812545
317	0.1216013474
318	0.1214387673
319	0.1211691588
320	0.1209568379
321	0.1206757828
322	0.1200795281
323	0.1198953535
324	0.119663314
325	0.1193872827
326	0.1189287
327	0.1185330696
328	0.118293993
329	0.1178631392
330	0.1177508632
331	0.1175279769
332	0.117393825
333	0.1169779411
334	0.1165742146
335	0.1164090453
336	0.1160962489
337	0.1157687466
338	0.1154757856
339	0.1152651535
340	0.1150414368
341	0.1147346114
342	0.114471406
343	0.1143246604
344	0.1139587857
345	0.113736203
346	0.1136527655
347	0.113260882
348	0.1129080212
349	0.1125724503
350	0.1123484378
351	0.1121511668
352	0.1117830794
353	0.1115294351
354	0.1111483979
355	0.1109809285
356	0.1108082092
357	0.1104866709
358	0.1102349475
359	0.1099628559
360	0.1096382036
361	0.109400973
362	0.10932982
363	0.1091289581
364	0.1088541379
365	0.1086382023
366	0.1084136915
367	0.1081160175
368	0.1076862772
369	0.1074128646
370	0.1072710038
371	0.1070447588
372	0.1068577263
373	0.1065631416
374	0.1062008047
375	0.1060726485
376	0.1058210102
377	0.1056680516
378	0.1053989851
379	0.104982698
380	0.1048663139
381	0.1046459101
382	0.10443678
383	0.1041115268
384	0.1038805261
385	0.1038013233
386	0.1036137459
387	0.1034369474
388	0.1032864766
389	0.1028634046
390	0.102314595
391	0.1020735767
392	0.1018503834
393	0.1016026993
394	0.1014665529
395	0.1012759095
396	0.1011976548
397	0.1010367618
398	0.1007539766
399	0.1006642042
400	0.1003867177
401	0.1002357748
402	0.1000507684
403	0.09974552109
404	0.09954070368
405	0.09941536623
406	0.09928514514
407	0.09909951204
408	0.09884277893
409	0.09860729757
410	0.09842637684
411	0.09831833328
412	0.09806963856
413	0.09794138728
414	0.09781782797
415	0.09757760683
416	0.09719329155
417	0.09696225589
418	0.09670276989
419	0.09648741467
420	0.09630451356
421	0.0960908459
422	0.09582217168
423	0.09547997969
424	0.0953403098
425	0.09495868414
426	0.09467945821
427	0.09449001151
428	0.09420129157
429	0.09385855206
430	0.09373837042
431	0.09356718107
432	0.09335009852
433	0.09318444266
434	0.09304012063
435	0.09273165311
436	0.09266965649
437	0.09249169802
438	0.09232288268
439	0.09216139627
440	0.09193857764
441	0.09174619961
